Ex_2.3.11,Ex_Review_15,Ex_Review_29
0.0269,18,73.3
0.076,21,80.5
0.099,21,50.4
0.099,23,50.9
0.099,27,64.8
0.099,27,74
0.105,30,72.8
0.119,32,54.6
0.146,32,71
0.155,32,66
0.169,36,71
0.181,37,74
0.207,41,72.7
0.239,42,73.6
0.247,42,82.4
0.271,43,56.8
0.299,43,83
0.34,48,76.5
0.363,48,72.6
0.409,51,65.9
0.43,55,70
0.468,58,76.5
0.534,60,80.6
0.593,62,72.3
0.04,67,99.6
0.085,68,80.7
0.099,88,73.3
0.099,63,77.4
0.099,,72.2
0.099,,100
0.105,,55.7
0.12,,79.3
0.148,,109
0.157,,84.4
0.171,,76.4
0.188,,73.6
0.21,,79.6
0.24,,64.1
0.254,,76.9
0.28,,68.6
0.3,,73.2
0.344,,66.3
0.366,,74
0.409,,67.3
0.436,,66.3
0.481,,96
0.534,,73.8
0.601,,70
0.055,,50.5
0.087,,72
0.099,,59.7
0.099,,90.9
0.099,,76.9
0.099,,71.4
0.108,,45.6
0.123,,77.5
0.149,,60.6
0.16,,67.5
0.172,,97.5
0.189,,89.6
0.21,,70.5
0.242,,78.1
0.257,,84.6
0.28,,92.5
0.307,,76.9
0.348,,59
0.383,,76.9
0.41,,130
0.437,,76.9
0.487,,88.2
0.546,,63.4
0.624,,123.7
0.055,,65.6
0.087,,80.2
0.099,,84.7
0.099,,82.6
0.099,,68.1
0.099,,74.6
0.108,,70.5
0.124,,58.8
0.149,,93.7
0.165,,61.3
0.174,,76.9
0.189,,78.2
0.214,,85.4
0.243,,86.4
0.26,,67.7
0.287,,74
0.31,,92.3
0.349,,76.9
0.39,,64.5
0.416,,88.7
0.439,,72.4
0.491,,65.7
0.548,,70
0.628,,91.9
0.065,,55.5
0.088,,100
0.099,,79.6
0.099,,72.7
0.099,,78.1
0.099,,68.3
0.109,,65.9
0.134,,73
0.15,,55
0.165,,80
0.178,,84
0.192,,
0.215,,
0.245,,
0.262,,
0.288,,
0.311,,
0.352,,
0.396,,
0.421,,
0.441,,
0.498,,
0.548,,
0.638,,
0.067,,
0.09,,
0.099,,
0.099,,
0.099,,
0.1,,
0.109,,
0.134,,
0.15,,
0.167,,
0.178,,
0.195,,
0.216,,
0.245,,
0.265,,
0.294,,
0.314,,
0.353,,
0.399,,
0.426,,
0.441,,
0.503,,
0.549,,
0.66,,
0.07,,
0.09,,
0.099,,
0.099,,
0.099,,
0.102,,
0.109,,
0.137,,
0.15,,
0.167,,
0.179,,
0.197,,
0.226,,
0.246,,
0.265,,
0.297,,
0.319,,
0.357,,
0.408,,
0.429,,
0.443,,
0.506,,
0.555,,
0.672,,
0.072,,
0.099,,
0.099,,
0.099,,
0.099,,
0.104,,
0.116,,
0.139,,
0.154,,
0.1677,,
0.179,,
0.201,,
0.229,,
0.246,,
0.268,,
0.298,,
0.321,,
0.363,,
0.408,,
0.429,,
0.454,,
0.522,,
0.592,,
0.682,,
0.687,,
0.786,,
0.953,,
0.69,,
0.795,,
0.983,,
0.691,,
0.804,,
0.989,,
0.694,,
0.82,,
1.012,,
0.704,,
0.835,,
1.026,,
0.712,,
0.877,,
1.032,,
0.72,,
0.909,,
1.062,,
0.728,,
0.952,,
1.16,,
